borough,rent_3bed
City of London,0
Barking and Dagenham,1422
Barnet,1894
Bexley,1293
Brent,1869
Bromley,1543
Camden,3254
Croydon,1450
Ealing,1871
Enfield,1702
Greenwich,1674
Hackney,2446
Hammersmith and Fulham,2674
Haringey,1960
Harrow,1621
Havering,1356
Hillingdon,1470
Hounslow,1681
Islington,2420
Kensington and Chelsea,5054
Kingston upon Thames,1693
Lambeth,2280
Lewisham,1687
Merton,1867
Newham,1688
Redbridge,1564
Richmond upon Thames,2205
Southwark,2088
Sutton,1489
Tower Hamlets,2350
Waltham Forest,1653
Wandsworth,2194
Westminster,4181