Year,Category,Average
2012,One Bedroom,1089
2013,One Bedroom,1177
2014,One Bedroom,1173
2015,One Bedroom,1246
2016,One Bedroom,1329
2017,One Bedroom,1363
2018,One Bedroom,1294
2019,One Bedroom,1350
2012,Two Bedroom,1383
2013,Two Bedroom,1495
2014,Two Bedroom,1480
2015,Two Bedroom,1569
2016,Two Bedroom,1685
2017,Two Bedroom,1716
2018,Two Bedroom,1588
2019,Two Bedroom,1700
2012,Three Bedroom,1720
2013,Three Bedroom,1833
2014,Three Bedroom,1881
2015,Three Bedroom,2038
2016,Three Bedroom,2189
2017,Three Bedroom,2223
2018,Three Bedroom,1990
2019,Three Bedroom,2166