borough,in,out
City of London,3258,2045
Barking and Dagenham,22361,23320
Barnet,39562,39624
Bexley,17878,17506
Brent,41462,43688
Bromley,23909,24382
Camden,40538,38495
Croydon,35185,35074
Ealing,40486,42896
Enfield,27720,29479
Greenwich,31292,31866
Hackney,33495,35026
Hammersmith and Fulham,30540,31995
Haringey,36029,38940
Harrow,26099,26725
Havering,18214,17276
Hillingdon,31323,30445
Hounslow,30776,31404
Islington,39954,38073
Kensington and Chelsea,20325,21747
Kingston upon Thames,19180,18868
Lambeth,51116,51840
Lewisham,35606,36184
Merton,24395,25959
Newham,47374,47625
Redbridge,31390,32756
Richmond upon Thames,19472,19992
Southwark,46772,46138
Sutton,16043,150808
Tower Hamlets,49129,45937
Waltham Forest,30317,32437
Wandsworth,53109,51780
Westminster,34868,36119