borough,population
City of London,8765
Barking and Dagenham,218828
Barnet,390590
Bexley,246622
Brent,347424
Bromley,331192
Camden,217136
Croydon,390643
Ealing,367284
Enfield,335151
Greenwich,288205
Hackney,265825
Hammersmith and Fulham,188562
Haringey,273716
Harrow,262065
Havering,261296
Hillingdon,305641
Hounslow,289652
Islington,221994
Kensington and Chelsea,146805
Kingston upon Thames,169797
Lambeth,329513
Lewisham,305906
Merton,217219
Newham,349786
Redbridge,311780
Richmond upon Thames,198185
Southwark,312591
Sutton,208516
Tower Hamlets,305066
Waltham Forest,281015
Wandsworth,334558
Westminster,208415